quiz_id,question_id,question,choce_1,choce_2,choce_3,choce_4,judge
11,2,国際宇宙ステーションの広さに近いのは？,サッカーコート,東京ドーム,ディズニーランド,25mプール,１０００
11,3,宇宙服の断熱材は何層でしょうか？,8層,11層,14層,20層,００１０
12,1,ジョジョの奇妙な冒険二部のワムウの必殺技は？,神砂嵐,輝彩滑刀,怪焔王大車獄,波紋疾走,１０００
12,2,和の国でゾロが名乗った偽名は？,ゾロ次郎,ゾロ十郎,ゾロ五郎,おゾロ,０１００
12,3,デスノートでキラが最初に殺した人物は？,渋井丸拓男,夜神総一郎,L,音原田九郎,０００１
12,4,葬送のフリーレンは何歳以上？,1000歳,500歳,250歳,100歳,１０００
13,1,江戸幕府を開いた人物は？,織田信長,徳川家康,葛飾北斎,平清盛,０１００
13,2,織田信長を暗殺した人物は？,明智光秀,徳川家康,武田信玄,伊達政宗,１０００
13,3,鎌倉幕府を開いた人物は？,西郷隆盛,坂本龍馬,源義経,源頼朝,０００１
13,4,中国大陸を統一した人物は？,呉,朕,秦,信,００１０
13,5,大化の改新が起こった年は？,645年,723年,527年,848年,１０００
14,1,人間は、一生のうち平均何回殺人犯とすれ違うでしょうか？,1回,6回,11回,16回,０００１
14,2,最初にパーを出すと何パーセントで勝てるでしょうか？,33パーセント,60パーセント,25パーセント,45パーセント,０１００
14,3,着色料の原料は主に何が使われているでしょうか？,花,虫,木,動物,０１００
14,4,人間とバナナのDNAは何パーセント一致しているでしょうか？,30パーセント,50パーセント,70パーセント,90パーセント,０１００
14,5,人間の赤ちゃんの骨の数は何本でしょう,100本,200本,300本,400本,００１０
14,6,チゲ鍋のチゲはどんな意味でしょうか？,辛い,うまい,赤い,鍋,０００１
14,7,布団を干した時するにおいは何でしょうか？,ダニ,空気,太陽,汗,１０００
14,8,体感で人生の半分が終わる年齢は？,19歳,25歳,30歳,50歳,１０００
14,9,禁止された事をしたくなっちゃうことを何という？,カリキュラ効果,カリギュラ効果,キュラギュラ効果,スクラム効果,０１００
14,10,ダンゴムシの呼吸法は？,無呼吸,肺,えら,皮膚,００１０
15,1,世界最小と言われているパスタはどれ？,ガラガラ,ニヤニヤ,カラカラ,クスクス,０００１
15,2,シュールストレミングの材料の魚は？,ニシン,サケ,イワシ,アジ,１０００
15,3,スペインでアホと呼ばれる食材は何？,唐辛子,ハム,ニンニク,ソーセージ,００１０
15,4,三大料理に含まれないものは？,トルコ,中国,イタリア,フランス,００１０
15,5,日本生まれの料理は？,ドリア,ピラフ,ハンバーグ,餃子,１０００
16,1,日本酒の主な材料は？,ブドウ,お米,小麦,トウモロコシ,０１００
16,2,世界で一番売れているスコッチウイスキーは？,J&B,バランタイン,シーバスリーガル,ジョニーウォーカー,０００１
16,3,レゲエパンチの発祥の国はどこ？,日本,中国,アメリカ,アフリカ,１０００
17,1,夏になると作られていそうな揚げ物は何だ？,アジフライ,コロッケ,カキフライ,エビフライ,００１０
17,2,雨から守ってくれそうな動物は？,コウモリ,キリン,ゾウ,トラ,１０００
17,3,古ければ古いほど若いのはどれ？,洗濯機,写真,冷蔵庫,タイヤ,０１００
17,4,タヌキが宝くじを買ったよ結果は？,一等,二等,三等,ハズレ,０００１
17,5,透明人間の職業は？,探偵,公務員,無職,警察,００１０
17,6,点を一つ取ると大きくなる動物は？,犬,猫,鶏,鳥,１０００
17,7,正義の味方が現れました。なぜ？,寝ているから,疲れたから,泣いているから,怒っているから,０１００
17,8,徹夜をした人の顔に動物が現れた。何でしょう？,猿,猫,犬,熊,０００１
17,9,アメリカの両端に橋が作られた。何色でしょう？,赤色,青色,黄色,緑色,１０００
17,10,長さが35キロもある野菜は何でしょう？,じゃがいも,ごぼう,きゅうり,にんじん,００１０
18,1,日本で一番広い湖はどこ？,猪苗代湖,田沢湖,霞ヶ浦,琵琶湖,０００１
18,2,日本で一番長い川はどこ？,信濃川,利根川,釈迦堂川,阿武隈川,１０００
18,3,日本で二番めに大きい山は？,富士山,磐梯山,北岳,穂高岳,００１０
18,4,日本の国土は何割が山地？,5割,6割,7割,8割,００１０
18,5,日本で一番小さい都道府県は？,沖縄,香川,石川,福岡,０１００
18,6,縄文時代の日本の人口は？,100万,50万,１０万,２万,０００１
18,7,名古屋を中心とした工業地帯は？,阪神工業地帯,京浜工業地帯,中京工業地帯,名古屋工業地帯,００１０
18,8,世界で一番長い川は？,ナイル川,アマゾン川,ガンジス川,ライン川,１０００
18,9,解体新書を作った奴は？,福島孝徳,高須克弥,野口英世,杉田玄白,０００１
18,10,世界一面積が小さい国は？,日本,バチカン市国,インド,フランス,０１００
19,1,有名な画家でゲルニカを描いた画家は誰？,ゴッホ,ダヴィンチ,モネ,ピカソ,０００１
19,2,モナリザがある美術館はどこ？,ルーブル美術館,メトロポリタン美術館,オルセー美術館,国立新美術館,１０００
20,1,どらえもんの正しい表記は？,どらえもん,ドラえもん,ドラエもん,ドらえもん,０１００
20,2,ジャムおじさんの正体は？,人間,妖精,ばい菌,パン,０１００
20,3,キティちゃんの身長は？,リンゴ5個,リンゴ3個,リンゴ1個,リンゴ10個,１０００
20,4,のび太の特技は？,勉強,野球,縄跳び,あやとり,０００１
20,5,炭次郎は何人兄弟？,４人,5人,6人,7人,００１０
20,6,ちいかわの苦手な食べ物は？,カヌレ,ブロッコリー,プリン,シチュー,０１００
20,7,デンジの心臓となった悪魔の名前は？,ポチタ,ポタチ,ポテチ,ポタチ,１０００
20,8,左目に十字傷があるキャラは？,緋村剣心,ゾロ,月詠,ミホーク,００１０
20,9,うずまきナルトは何代目火影？,４代目,５代目,６代目,７代目,０００１
20,10,次のうち身長が一番高いのは？,ヒソカ,レオリオ,クロロ,キルア,０１００
21,1,海の水がしょっぱいのはなぜ？,岩から塩が溶ける,雨,プランクトン,氷が溶けて,１０００
21,2,波が発生する原因は何？,サメ,雨,風,魚,００１０
21,3,海の中で一番大きい奴は？,シロナガスクジラ,ネッシー,ホホジロザメ,ジンベエザメ,１０００
21,4,海の一番深いところは何m？,3776m,8849m,10920m,634m,００１０
21,5,海水魚は何種類確認されてるでしょう？,14550種類,1455種類,4550種類,5500種類,１０００
21,6,海の塩分濃度はどれぐらい？,6.5パーセント,5.5パーセント,4.5パーセント,3.5パーセント,０００１
21,7,生きた化石と呼ばれる魚は？,ニシオンデンザメ,シーラカンス,ダイオウイカ,メガマウス,０１００
21,8,ジンベエザメの主な食べ物は？,プランクトン,サバ,サメ,クラゲ,１０００
21,9,ペンギンが住んでいないところは？,南極,北極,南アメリカ,オーストラリア,０１００
21,10,数の子は何の卵？,サメ,ニシン,サケ,タイ,０１００
22,1,2020年に延期された夏季オリンピックが開催される都市はどこですか？,ロンドン,東京,パリ,リオデジャネイロ,０１００
22,2,NBAで最も多くの優勝経験を持つチームはどれですか？,ロサンゼルス・レイカーズ,ボストン・セルティックス,シカゴ・ブルズ,ゴールデンステート・ウォリアーズ,０１００
22,3,テニスの四大大会の一つで、クレーコートで開催される大会はどれですか？,全豪オープン,全仏オープン,ウィンブルドン,全米オープン,０１００
22,4,アメリカンフットボールのスーパーボウルで最も優勝回数が多いクォーターバックは誰ですか？,Tom Brady,Peyton Manning,Joe Montana,Brett Favre,１０００
22,5,2016年のリオデジャネイロオリンピックで最もメダルを獲得した国はどれですか？,アメリカ合衆国,中国,イギリス,ドイツ,１０００
23,1,ワールドカップサッカーの優勝回数が最も多い国はどれ？,ブラジル,ドイツ,アルゼンチン,イタリア,１０００
23,2,オリンピックの開催都市で、最初に2回開催された都市はどこ？,ロンドン,東京,パリ,アテネ,０００１
23,3,テニスの四大大会で唯一クレーコートを使用しない大会はどれ？,全豪オープン,全仏オープン,ウィンブルドン,全米オープン,００１０
23,4,NBAで最も長い連勝記録を持つチームはどれ？,ロサンゼルス・レイカーズ,ボストン・セルティックス,シカゴ・ブルズ,ゴールデンステート・ウォリアーズ,０００１
23,5,ゴルフのメジャー大会で最も古い大会はどれ？,マスターズ・トーナメント,全英オープン,全米オープン,PGAチャンピオンシップ,０１００
24,1,サッカーのワールドカップで最も得点を挙げた選手は誰？,ペレ,マラドーナ,ミロスラフ・クローゼ,ロナウド,００１０
24,2,テニスの「ビッグスリー」として知られる選手に含まれないのは誰？,ノバク・ジョコビッチ,ロジャー・フェデラー,ラファエル・ナダル,アンディ・マレー,０００１
24,3,オリンピックのマラソン競技が始まった都市はどこ？,パリ,ローマ,アテネ,東京,００１０
24,4,MLB（メジャーリーグベースボール）のチーム「ヤンキース」の本拠地はどこ？,ニューヨーク,ロサンゼルス,ボストン,シカゴ,１０００
24,5,バスケットボールの3ポイントラインの距離は何フィートですか？,20フィート,22フィート,24フィート,26フィート,００１０
25,1,サッカーのワールドカップで最多得点を挙げた国はどこ？,ブラジル,ドイツ,アルゼンチン,イタリア,１０００
25,2,テニスの四大大会で最も標高が高い場所で行われるのはどれ？,全豪オープン,全仏オープン,ウィンブルドン,全米オープン,１０００
25,3,オリンピック史上最も多くのメダルを獲得した女性選手は誰？,ユリア・チェプリャーノワ,ミハエラ・フィルモワ,ラリサ・ラトニナ,ミハエラ・ロシュ,００１０
25,4,NBAで「バックボード・シェイク」を行ったことで知られる選手は誰？,マイケル・ジョーダン,シャキール・オニール,レブロン・ジェームズ,ウィルト・チェンバレン,０００１
25,5,ゴルフのメジャー大会で「グランドスラム」を達成したことのある選手は誰？,ジョーダン・スピース,ローリー・マキロイ,フィル・ミケルソン,タイガー・ウッズ,０００１
26,1,ビートルズのメンバーで最初に亡くなったのは誰？,ジョン・レノン,ポール・マッカートニー,ジョージ・ハリスン,リンゴ・スター,００１０
26,2,マイケル・ジャクソンのアルバム「Thriller」に収録されている曲はどれ？,Billie Jean,Beat It,Thriller,Smooth Criminal,００１０
26,3,レディー・ガガのデビューアルバムは次のうちどれ？,The Fame,Born This Way,Artpop,Joanne,１０００
26,4,ローリング・ストーンズのギタリストで「キースリフ」として知られるのは誰？,ミック・ジャガー,キース・リチャーズ,ロン・ウッド,ブライアン・ジョーンズ,０１００
26,5,クイーンのボーカリストは誰？,フレディ・マーキュリー,ブライアン・メイ,ロジャー・テイラー,ジョン・ディーコン,１０００
27,1,ビートルズの曲「Hey Jude」の歌詞の中で誰に向けられている？,ポールの妻,ジョンの妻,ジョージの妻,リンゴの妻,０１００
27,2,マイケル・ジャクソンのアルバム「Bad」に収録されている曲はどれ？,Thriller,Bad,Beat It,Billie Jean,０１００
27,3,テイラー・スウィフトのアルバム「1989」に収録されている曲はどれ？,Shake It Off,Blank Space,Bad Blood,Style,１０００
27,4,デビューシングル「I Kissed a Girl」で知られるアーティストは誰？,Katy Perry,Lady Gaga,Rihanna,Adele,１０００
27,5,ビリー・アイリッシュの曲「Bad Guy」のリリース年はいつ？,2017年,2018年,2019年,2020年,００１０
28,1,クイーンの「Bohemian Rhapsody」のジャンルは何？,ロック,ポップ,ヒップホップ,カントリー,１０００
28,2,ビリー・ジョエルのアルバム「The Stranger」に収録されている曲はどれ？,Piano Man,Just the Way You Are,Uptown Girl,We Didn't Start the Fire,０１００
28,3,レディー・ガガのデビューアルバムは次のうちどれ？,The Fame,Born This Way,Artpop,Joanne,１０００
28,4,マイケル・ジャクソンの「Beat It」のギターソロを演奏したギタリストは誰？,Eddie Van Halen,Slash,Jimi Hendrix,Eric Clapton,１０００
28,5,デビューシングル「Umbrella」で知られるアーティストは誰？,Beyonce,Rihanna,Katy Perry,Adele,０１００
29,1,映画『ショーシャンクの空に』の主演俳優は誰？,モーガン・フリーマン,タム・ハンクス,キアヌ・リーブス,ティム・ロビンス,１０００
29,2,『ハリー・ポッター』シリーズで主人公ハリー・ポッターを演じた俳優は誰？,ダニエル・ラドクリフ,ルパート・グリント,エマ・ワトソン,トム・フェルトン,１０００
29,3,映画『インセプション』の監督は誰？,クリストファー・ノーラン,ジェームズ・キャメロン,ピーター・ジャクソン,スティーヴン・スピルバーグ,１０００
29,4,アニメ映画『千と千尋の神隠し』の監督は誰？,宮崎駿,石田卓也,細田守,中田秀夫,１０００
29,5,『ラ・ラ・ランド』で主演を務めた女優は誰？,エマ・ストーン,ナタリー・ポートマン,ジェニファー・ローレンス,レイチェル・マクアダムス,１０００
30,1,映画『タイタニック』の主演俳優は誰？,ケイト・ウィンスレット,ブラッド・ピット,ジュリア・ロバーツ,レオナルド・ディカプリオ,０００１
30,2,『ハリー・ポッター』シリーズでダンブルドア校長を演じた俳優は誰？,マイケル・ケイン,アラン・リックマン,イアン・マッケラン,リチャード・ハリス,０００１
30,3,映画『フォレスト・ガンプ』で主演を務めた俳優は誰？,ブルース・ウィリス,ジョニー・デップ,トム・ハンクス,ロバート・デ・ニーロ,００１０
30,4,アニメ映画『となりのトトロ』の監督は誰？,細田守,宮崎駿,押井守,坂本賀勇,０１００
30,5,映画『インセプション』で主演を務めた俳優は誰？,トム・ハーディ,キリアン・マーフィー,レオナルド・ディカプリオ,ジョセフ・ゴードン＝レヴィット,００１０
31,1,映画『フォレスト・ガンプ』の主演俳優は誰？,メル・ギブソン,ジョニー・デップ,ブルース・ウィリス,トム・ハンクス,０００１
31,2,『インターステラー』の監督は誰？,マーティン・スコセッシ,クリストファー・ノーラン,スティーヴン・スピルバーグ,ジェームズ・キャメロン,０１００
31,3,映画『シンドラーのリスト』の主演俳優は誰？,ケビン・コスナー,トム・ハンクス,メル・ギブソン,リーアム・ニーソン,０００１
31,4,アニメ映画『もののけ姫』の監督は誰？,押井守,細田守,坂本賀勇,宮崎駿,０００１
31,5,映画『インセプション』の主演俳優は誰？,キリアン・マーフィー,ジョセフ・ゴードン＝レヴィット,レオナルド・ディカプリオ,トム・ハーディ,００１０
